,dataset,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds,learner
24,smoking,smoking,0.6621555108964109,"[0.6631583223680788, 0.651249081788331, 0.6700953224474935, 0.6656479125687573, 0.6606269153093938]",0.6568739905129887,"[0.6565376889356136, 0.649309720691482, 0.6642903263153176, 0.6603422605509797, 0.6538899560715501]",0.6589416831526103,"[0.6590590829104506, 0.6501945539129355, 0.6666286705266763, 0.6624891050153175, 0.6563370033976714]",0.6463628570137641,"[0.6448544461733599, 0.6406666510918713, 0.653772328837944, 0.6499681479222672, 0.6425527110433776]",0.6568739905129887,"[0.6565376889356136, 0.649309720691482, 0.6642903263153176, 0.6603422605509797, 0.6538899560715501]",KNeighborsClassifier
27,flight,satisfaction,0.7462583804041596,"[0.7473941683374692, 0.7448887632461357, 0.7461182817389255, 0.7440168195981247, 0.7488738691001426]",0.7403153021181509,"[0.7407858676006382, 0.7398035783337331, 0.7395985641859245, 0.7381990035434878, 0.7431894969269703]",0.7422772144547868,"[0.7429184349863707, 0.7415913284736876, 0.7416835112990232, 0.740157591335878, 0.7450352061789745]",0.7370318546415882,"[0.7372045745100145, 0.7368721314835331, 0.7360348375824025, 0.7348909288134066, 0.7401568008185838]",0.7403153021181509,"[0.7407858676006382, 0.7398035783337331, 0.7395985641859245, 0.7381990035434878, 0.7431894969269703]",KNeighborsClassifier
0,imdb,imdb_score,0.6689526128105778,"[0.5723498172287744, 0.692150669708136, 0.5427506213753107, 0.7444387697196686, 0.7930731860209997]",0.5476549516284023,"[0.5264502307185234, 0.5478119955609363, 0.5209398324813401, 0.5426465917031955, 0.6004261076780161]",0.5615004121103426,"[0.5430636540330418, 0.5738577951269833, 0.5281512980628026, 0.5606928611816027, 0.6017364521472824]",0.1791329076120831,"[0.0, 0.38346371206956426, 0.0, 0.21058543907679889, 0.3016153869140523]",0.7540161976177715,"[0.7416276929210336, 0.7625028482722763, 0.7434621750455163, 0.7508901084525167, 0.7715981633975146]",LinearDiscriminantAnalysis
3,mushroom,Class,0.9994258382810092,"[1.0, 0.9992846924177397, 0.9992805755395684, 0.9992927864214993, 0.999271137026239]",0.9990759561273468,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 0.9988713318284425]",0.9992501565668436,"[1.0, 0.9990613701003561, 0.9990646548046006, 0.9990544269819135, 0.9990703309473477]",0.9990754217007436,"[1.0, 0.9988392335031453, 0.9988499133630073, 0.9988172674749604, 0.9988706941626053]",0.9990759561273468,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 0.9988713318284425]",LinearDiscriminantAnalysis
6,census,income,0.7891761670223494,"[0.7927341310476479, 0.7910831689276292, 0.7807907449287494, 0.7912613610592607, 0.7900114291484597]",0.7447743984858568,"[0.753841421024312, 0.7467883590233431, 0.7348347300832355, 0.7430827799120483, 0.7453247023863452]",0.7621634106019859,"[0.7696101967327751, 0.7643752845116134, 0.7524330534847126, 0.7617014933735992, 0.7626970249072289]",0.7226012600472338,"[0.7347220486591393, 0.7247368682103704, 0.7104077903869177, 0.7196161922781669, 0.7235234007015748]",0.7447743984858568,"[0.753841421024312, 0.7467883590233431, 0.7348347300832355, 0.7430827799120483, 0.7453247023863452]",LinearDiscriminantAnalysis
9,bank,y,0.7689182630581286,"[0.7523443870617015, 0.7817204301075269, 0.8065492957746478, 0.7514245014245013, 0.7525527009222661]",0.7255388328921331,"[0.7251902610593979, 0.7264205295628586, 0.7214590964590964, 0.7337490343229225, 0.7208752430563891]",0.7437837057267511,"[0.7377057057057057, 0.7496197604989274, 0.7544515407481531, 0.7420568442358161, 0.7350846774451532]",0.6880850093627247,"[0.6865141357107435, 0.6880681925349538, 0.6770407730589114, 0.7047225877004896, 0.6840793578085257]",0.7255388328921331,"[0.7251902610593979, 0.7264205295628586, 0.7214590964590964, 0.7337490343229225, 0.7208752430563891]",LinearDiscriminantAnalysis
12,intention,Revenue,0.8154916645286037,"[0.8272096002157352, 0.7982089138492181, 0.827793444868222, 0.7836892005829373, 0.8405571631269062]",0.6508459500638659,"[0.639812443369001, 0.6491864030694794, 0.678161743989785, 0.6379561042896476, 0.6491130556014162]",0.6897620045419501,"[0.6795668581538841, 0.6861743608360392, 0.7199704381163536, 0.6735771102847216, 0.6895212553187521]",0.5611916213663575,"[0.5393939645384541, 0.561192940415413, 0.6082683704891721, 0.5414361208092322, 0.5556667105795158]",0.6508459500638659,"[0.639812443369001, 0.6491864030694794, 0.678161743989785, 0.6379561042896476, 0.6491130556014162]",LinearDiscriminantAnalysis
15,anuran,Family,0.7189660615300746,"[0.7162046309280401, 0.6751328152441166, 0.782824936298341, 0.6938880118591533, 0.7267799133207216]",0.7342695296635264,"[0.7247890161707836, 0.7138399325258142, 0.7332332885509129, 0.7288553660973065, 0.7706300449728154]",0.7155294455244461,"[0.7070877877708015, 0.6878796905428988, 0.7295565369406074, 0.7081380790996772, 0.7449851332682449]",0.5848599139571198,"[0.553056466128411, 0.5394347501157534, 0.581754863773189, 0.562916659537004, 0.6871368302312411]",0.968081294530889,"[0.9681413196605322, 0.9620330535777858, 0.9690653379743845, 0.9713873502671226, 0.9697794111746196]",LinearDiscriminantAnalysis
18,telco,Churn,0.7397847832042406,"[0.755327671336059, 0.7648519808120507, 0.7396295501168837, 0.7124489554785145, 0.7266657582776945]",0.7113918581855844,"[0.7305425632779157, 0.7145648557751676, 0.7146315668590444, 0.6873767258382644, 0.7098435791775293]",0.7221958448859048,"[0.7413127646702965, 0.7304968487924127, 0.7250081726054267, 0.6970138451750592, 0.717147593186329]",0.6879476744014429,"[0.7090186774640275, 0.6869441897805945, 0.692358056690492, 0.6613446346937913, 0.6900728133783094]",0.7113918581855844,"[0.7305425632779157, 0.7145648557751676, 0.7146315668590444, 0.6873767258382644, 0.7098435791775293]",LinearDiscriminantAnalysis
21,paris,category,0.6564979697068939,"[0.6579746835443038, 0.63849043715847, 0.675284031918365, 0.6687268689859364, 0.6420138269273943]",0.5334410626676143,"[0.5174706135321101, 0.5295581538910111, 0.5136945981774527, 0.5498981023617049, 0.5565838453757921]",0.5317334848228376,"[0.5043247189817797, 0.5282844101612238, 0.49737035156603726, 0.5594176123218937, 0.569270331083253]",0.2756723975968227,"[0.20645536411983392, 0.272840764937314, 0.17987067360869036, 0.3449799819479038, 0.3742152033703715]",0.5334410626676143,"[0.5174706135321101, 0.5295581538910111, 0.5136945981774527, 0.5498981023617049, 0.5565838453757921]",LinearDiscriminantAnalysis
24,smoking,smoking,0.7262766309245012,"[0.7276129512971619, 0.7196556585191622, 0.7291365864588236, 0.7269903502606454, 0.7279876080867129]",0.7413705761984157,"[0.7424371507508603, 0.73518095380175, 0.7451986082644959, 0.7424783512722615, 0.7415578169027109]",0.7279361279158717,"[0.729753376391151, 0.7209437066008784, 0.7309164452150131, 0.728731820115875, 0.7293352912564411]",0.7411612739704146,"[0.7423312429543382, 0.7349320385122909, 0.7449489070329812, 0.7422666191918941, 0.7413275621605688]",0.7413705761984157,"[0.7424371507508603, 0.73518095380175, 0.7451986082644959, 0.7424783512722615, 0.7415578169027109]",LinearDiscriminantAnalysis
27,flight,satisfaction,0.8513920403480718,"[0.8505131185260324, 0.8484096720334966, 0.8540413625771, 0.8502919563671275, 0.8537040922366019]",0.8500739209980986,"[0.8497680025526702, 0.846961083893451, 0.8520126312754137, 0.849404682856777, 0.8522232044121807]",0.8506883852424927,"[0.8501275049461519, 0.8476387717543861, 0.8529370347335008, 0.8498303706673918, 0.8529082441110333]",0.8496637622354608,"[0.8494355919507951, 0.8465063741641835, 0.8515067510645264, 0.8490451809262892, 0.8518249130715095]",0.8500739209980986,"[0.8497680025526702, 0.846961083893451, 0.8520126312754137, 0.849404682856777, 0.8522232044121807]",LinearDiscriminantAnalysis
0,imdb,imdb_score,0.4273285863154399,"[0.44233258396348524, 0.43148341250531025, 0.42746452068946766, 0.43653566229985447, 0.3988267521190821]",0.4918771317258676,"[0.5082948802460997, 0.4914540816326531, 0.48012815897472816, 0.5081062194269741, 0.4714023183488833]",0.4558900233782978,"[0.47176978746531645, 0.4586612758310871, 0.45180348258706465, 0.46843033509700177, 0.4287852359110193]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7256610153957028,"[0.729626572086671, 0.7323557463042442, 0.7241224122412241, 0.7286003952670619, 0.7135999510793126]",LogisticRegression
3,mushroom,Class,0.9995716108757614,"[1.0, 0.9992846924177397, 0.9992805755395684, 0.9992927864214993, 1.0]",0.9993016897616585,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 1.0]",0.999436090377374,"[1.0, 0.9990613701003561, 0.9990646548046006, 0.9990544269819135, 1.0]",0.9993012828682224,"[1.0, 0.9988392335031453, 0.9988499133630073, 0.9988172674749604, 1.0]",0.9993016897616585,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 1.0]",LogisticRegression
6,census,income,0.755906390161539,"[0.7547477227849284, 0.740293970081464, 0.7679045111673792, 0.7526460824443226, 0.7639396643296008]",0.614894392274544,"[0.6124005533943166, 0.6118731128038823, 0.6108802352323724, 0.6193163385846313, 0.6200017213575169]",0.6302183381328287,"[0.6266450808598407, 0.6272985312080389, 0.6247259864487844, 0.6364022906462685, 0.6360198015012108]",0.5056408335247407,"[0.5005797269741455, 0.5032628987770614, 0.49369829507719326, 0.5160293307445898, 0.5146339160507135]",0.614894392274544,"[0.6124005533943166, 0.6118731128038823, 0.6108802352323724, 0.6193163385846313, 0.6200017213575169]",LogisticRegression
9,bank,y,0.7980079365593821,"[0.7798297436851653, 0.8381874286680475, 0.8334573412698413, 0.7706255116582275, 0.7679396575156292]",0.6931942094555295,"[0.6823928928777174, 0.6920565571212521, 0.7052045177045176, 0.6970091601368502, 0.6893079194373095]",0.7295348240945122,"[0.7176535087719298, 0.7376671416876384, 0.7487569190355569, 0.7248931623931624, 0.7187033885842735]",0.6346545318237891,"[0.6164959947009945, 0.6286140915672024, 0.6495239482739334, 0.6460085184030038, 0.6326301061738108]",0.6931942094555295,"[0.6823928928777174, 0.6920565571212521, 0.7052045177045176, 0.6970091601368502, 0.6893079194373095]",LogisticRegression
12,intention,Revenue,0.8011514271089201,"[0.804264179584615, 0.7903046960959341, 0.805639410532185, 0.7770622155374719, 0.8284866337943948]",0.6662996320189023,"[0.6585216232211974, 0.6741438998207416, 0.6813558621081826, 0.6535562422274236, 0.6639205327169666]",0.703704889957359,"[0.6970353401949562, 0.7094697739073033, 0.7191110309515937, 0.6884935961542441, 0.7044147085786983]",0.5912967817224584,"[0.5771336416869475, 0.606867962726201, 0.6166435972453049, 0.5718196362832793, 0.5840190706705586]",0.6662996320189023,"[0.6585216232211974, 0.6741438998207416, 0.6813558621081826, 0.6535562422274236, 0.6639205327169666]",LogisticRegression
15,anuran,Family,0.6805077773806103,"[0.6769130781315886, 0.6645579111105828, 0.6769771241830066, 0.6880496148760677, 0.6960411586018055]",0.6908060789776487,"[0.696687640696239, 0.6834717081282177, 0.6947484084496566, 0.6861958129127859, 0.6929268247013444]",0.6853862503746333,"[0.6864294488513278, 0.6737037223133897, 0.6853299188110459, 0.6870698136979669, 0.6943983481994362]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.968720158567028,"[0.9691472271331615, 0.963079596815224, 0.9688656569496841, 0.9717805557305297, 0.9707277562065411]",LogisticRegression
18,telco,Churn,0.7481304967022357,"[0.7458251537756838, 0.7804897564758707, 0.7690296421906233, 0.7105109446415794, 0.7347969864274212]",0.7125060001861592,"[0.7165238716891306, 0.720681063726238, 0.7275295977694511, 0.6832082799568922, 0.7145871877890841]",0.7255273324002242,"[0.7287937835418001, 0.7388149518180478, 0.7434387797153322, 0.6934021122502798, 0.7231870346756613]",0.6870283330405437,"[0.6908615569039918, 0.6915391854206732, 0.7030491278364993, 0.6552285924991325, 0.6944632025424216]",0.7125060001861592,"[0.7165238716891306, 0.720681063726238, 0.7275295977694511, 0.6832082799568922, 0.7145871877890841]",LogisticRegression
21,paris,category,0.4367499999999999,"[0.436, 0.43725, 0.4385, 0.43425, 0.43775]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4662383037360453,"[0.4658119658119658, 0.46652440650840227, 0.4672349493873202, 0.46481134599946483, 0.46680885097307384]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",LogisticRegression
24,smoking,smoking,0.6910569629916367,"[0.6926160236610472, 0.6847084139625308, 0.6968360137316928, 0.6896830288554561, 0.6914413347474568]",0.6741587558216751,"[0.6768894646306672, 0.6689993119280021, 0.6798570920579763, 0.674484832325928, 0.6705630781658012]",0.6791737391946014,"[0.6818213683008634, 0.6738080595947757, 0.6851658566815617, 0.6792871932536737, 0.6757862181421324]",0.6574094516431952,"[0.6612690987416815, 0.6521281458690253, 0.6637343641119027, 0.6588135444510652, 0.651102105042301]",0.6741587558216751,"[0.6768894646306672, 0.6689993119280021, 0.6798570920579763, 0.674484832325928, 0.6705630781658012]",LogisticRegression
27,flight,satisfaction,0.7745023881464126,"[0.7822748077438509, 0.7702541397344327, 0.7756171691441325, 0.7724619297371311, 0.7719038943725157]",0.7776956544787493,"[0.7859226146607088, 0.7742178474173287, 0.7770579586082671, 0.7761423665108433, 0.7751374851965991]",0.7753725766560595,"[0.7833120101442601, 0.771148157907291, 0.7762455662801813, 0.7734587870199918, 0.7726983619285732]",0.7776411604025808,"[0.7859174201395553, 0.774187805647446, 0.7768386149952324, 0.7761382831607481, 0.7751236780699224]",0.7776956544787493,"[0.7859226146607088, 0.7742178474173287, 0.7770579586082671, 0.7761423665108433, 0.7751374851965991]",LogisticRegression
