,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds,learner
12,intention,target1,Revenue,0.8011514271089201,"[0.804264179584615, 0.7903046960959341, 0.805639410532185, 0.7770622155374719, 0.8284866337943948]",0.6662996320189023,"[0.6585216232211974, 0.6741438998207416, 0.6813558621081826, 0.6535562422274236, 0.6639205327169666]",0.703704889957359,"[0.6970353401949562, 0.7094697739073033, 0.7191110309515937, 0.6884935961542441, 0.7044147085786983]",0.5912967817224584,"[0.5771336416869475, 0.606867962726201, 0.6166435972453049, 0.5718196362832793, 0.5840190706705586]",0.6662996320189023,"[0.6585216232211974, 0.6741438998207416, 0.6813558621081826, 0.6535562422274236, 0.6639205327169666]",LogisticRegression
13,intention,target3,SpecialDay,0.1494868445384899,"[0.1482858323007022, 0.14831615120274913, 0.14989690721649485, 0.15064631463146314, 0.15028901734104047]",0.166559177147285,"[0.16635773864689526, 0.16666666666666666, 0.16666666666666666, 0.1665906326034063, 0.16651418115279049]",0.1575602344762566,"[0.15680279537016814, 0.15695686959051566, 0.15783760312635692, 0.15821779318313114, 0.1579861111111111]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8332351801283119,"[0.8330525667278255, 0.8333333333333334, 0.8333333333333334, 0.8332637439109255, 0.8331929233361416]",LogisticRegression
14,intention,target2,VisitorType,0.626968861387884,"[0.6979206531445337, 0.5860248447204969, 0.5538086342880864, 0.6002360127724559, 0.6968541620138468]",0.5062705301219996,"[0.5085250297400731, 0.5031512796243037, 0.5028762970379965, 0.5084192605160587, 0.5083807836915655]",0.4782012372341079,"[0.48022051510682806, 0.4744227772534732, 0.47146055854040536, 0.4855615271263193, 0.47934080814351343]",0.1283603596416576,"[0.14101533808353786, 0.09789550819787114, 0.10705516994863255, 0.15581481121495858, 0.14002097076328812]",0.5062705301219996,"[0.5085250297400731, 0.5031512796243037, 0.5028762970379965, 0.5084192605160587, 0.5083807836915655]",LogisticRegression
15,anuran,target1,Family,0.6805077773806103,"[0.6769130781315886, 0.6645579111105828, 0.6769771241830066, 0.6880496148760677, 0.6960411586018055]",0.6908060789776487,"[0.696687640696239, 0.6834717081282177, 0.6947484084496566, 0.6861958129127859, 0.6929268247013444]",0.6853862503746333,"[0.6864294488513278, 0.6737037223133897, 0.6853299188110459, 0.6870698136979669, 0.6943983481994362]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.968720158567028,"[0.9691472271331615, 0.963079596815224, 0.9688656569496841, 0.9717805557305297, 0.9707277562065411]",LogisticRegression
16,anuran,target3,Species,0.9129413225840536,"[0.9441136073859185, 0.8975904776556609, 0.9141842034312294, 0.8777851675754057, 0.9310331568720537]",0.7812984805633025,"[0.7780042201626521, 0.7915459084626697, 0.7592234639842665, 0.7908226303056531, 0.786896179901271]",0.8069892640016267,"[0.8076828956452424, 0.7997968991132746, 0.7875866290889277, 0.8209927470879175, 0.8188871490727708]",0.6868752013891126,"[0.6816254809801972, 0.6569226442681536, 0.6567741191658403, 0.7284748746207791, 0.7105788879105931]",0.993207570547705,"[0.9939607881100899, 0.9924318244628096, 0.9924190706180598, 0.9940974867924666, 0.9931286827550995]",LogisticRegression
17,anuran,target2,Genus,0.7962577414658628,"[0.8276688289515868, 0.7849537331827208, 0.7831327912847613, 0.7881049535656931, 0.7974284003445516]",0.6848057746277957,"[0.7006605038957137, 0.7169836020281719, 0.6633980451711479, 0.6701333217723507, 0.6728534002715941]",0.7166464442321054,"[0.7360512802258441, 0.7423950610375234, 0.6959701645639698, 0.7011640575575633, 0.7076516577756262]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9866334978185678,"[0.9874874439679429, 0.9867056355781857, 0.9845512243829286, 0.9879700554614623, 0.9864531297023196]",LogisticRegression
18,telco,target1,Churn,0.7481304967022357,"[0.7458251537756838, 0.7804897564758707, 0.7690296421906233, 0.7105109446415794, 0.7347969864274212]",0.7125060001861592,"[0.7165238716891306, 0.720681063726238, 0.7275295977694511, 0.6832082799568922, 0.7145871877890841]",0.7255273324002242,"[0.7287937835418001, 0.7388149518180478, 0.7434387797153322, 0.6934021122502798, 0.7231870346756613]",0.6870283330405437,"[0.6908615569039918, 0.6915391854206732, 0.7030491278364993, 0.6552285924991325, 0.6944632025424216]",0.7125060001861592,"[0.7165238716891306, 0.720681063726238, 0.7275295977694511, 0.6832082799568922, 0.7145871877890841]",LogisticRegression
19,telco,target3,PaymentMethod,0.3992677804232723,"[0.3964663979741113, 0.39611811734936025, 0.38416933889156113, 0.393165308257504, 0.426419739643825]",0.3827443417933752,"[0.38206790598744544, 0.3723928962850378, 0.37987124326069616, 0.37721452375855713, 0.4021751396751397]",0.3623843019772936,"[0.3592864495263448, 0.35056627489137093, 0.34844886264936203, 0.35920937522781954, 0.3944105475915707]",0.3028487829444233,"[0.3055501691194267, 0.28906617008645974, 0.28372369883421067, 0.2942522455744584, 0.34165163110756125]",0.8001428522646256,"[0.7992330820390535, 0.7968467671809211, 0.7980501476811224, 0.7987202006609145, 0.807864063761116]",LogisticRegression
20,telco,target2,Contract,0.628272655174462,"[0.6509706846613524, 0.628426559532414, 0.6651073832459858, 0.5984379690262043, 0.5984206794063528]",0.6241346594564066,"[0.6422688775229609, 0.6189293720401353, 0.6534976282011855, 0.6019979051634007, 0.6039795143543507]",0.6097500612468525,"[0.6324329405109294, 0.6166652002555113, 0.6438448267824821, 0.5721601344662332, 0.5836472042191064]",0.5171903204606101,"[0.5529776105607977, 0.5427368486599166, 0.56715107073658, 0.43098500468980905, 0.4921010676559472]",0.8404439607672485,"[0.8491952712863086, 0.8364567385183334, 0.8573424430896012, 0.8339861892490369, 0.8252391616929621]",LogisticRegression
21,paris,target1,category,0.4367499999999999,"[0.436, 0.43725, 0.4385, 0.43425, 0.43775]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4662383037360453,"[0.4658119658119658, 0.46652440650840227, 0.4672349493873202, 0.46481134599946483, 0.46680885097307384]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",LogisticRegression
