,dataset,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds,learner
2,imdb,content_rating,0.4555543583221255,"[0.6106053863999834, 0.46735037165304677, 0.3301168421090697, 0.4492208032886554, 0.42047838815987254]",0.4189532194295499,"[0.46807944558294695, 0.4321025318306452, 0.3107766982187109, 0.45162561864398854, 0.432181802871458]",0.4293093548503747,"[0.5089981258440311, 0.4462099553471511, 0.3157510165084289, 0.449938410534737, 0.42564926601752534]",0.1692392370552365,"[0.44477512754705756, 0.4014210577291251, 0.0, 0.0, 0.0]",0.9096956699741918,"[0.9121132989506909, 0.9061902265760465, 0.9065671551714718, 0.9137573184556561, 0.9098503507170937]",DecisionTreeClassifier
5,mushroom,population,0.3029075382091917,"[0.31008819665930976, 0.29899033378841694, 0.3239383567971031, 0.28811967541491396, 0.29340112838621507]",0.3158215478553234,"[0.3158000794579561, 0.31390551741648287, 0.33917389095221645, 0.3071075470708274, 0.30312070437913446]",0.3082393846092155,"[0.31279460233976847, 0.3054625357495407, 0.3307541731947658, 0.2952901351542028, 0.29689547660779986]",0.2116751889942539,"[0.2157258162691981, 0.21174306990469882, 0.23761078205579744, 0.20101584990452218, 0.1922804268370531]",0.8072278955173454,"[0.8102917721967712, 0.8061012579528688, 0.8091817939417671, 0.8058147928126208, 0.804749860682699]",DecisionTreeClassifier
8,census,marital-status,0.3944787343286929,"[0.38581738334867194, 0.3923790060949757, 0.395819918204207, 0.4118327578002515, 0.3865446061953587]",0.3950514495202037,"[0.3906096701667188, 0.3909167778826233, 0.39637639078832715, 0.4127358792566029, 0.38461852950674646]",0.3946210464027163,"[0.3879731820539755, 0.39159632001626477, 0.39586541431407346, 0.4121590302691906, 0.38551128536007745]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9618131781132988,"[0.9608644122385884, 0.9608784389822967, 0.9625679756848394, 0.9631553055308932, 0.9615997581298767]",DecisionTreeClassifier
11,bank,loan,0.501726927070232,"[0.4855499438832772, 0.49181124929627923, 0.5212775907220352, 0.5135188866799205, 0.4964769647696477]",0.5025561155585286,"[0.48252427184466024, 0.49058084772370486, 0.5295473732060523, 0.5139942734430923, 0.4961338115751338]",0.5004882263317303,"[0.48244946542818884, 0.4904311778238389, 0.5199687504209265, 0.51369601055061, 0.49589572743508725]",0.4036857338298089,"[0.37946139603294604, 0.3743125567088153, 0.45836690866400986, 0.4137922806662929, 0.3924955270769804]",0.5025561155585286,"[0.48252427184466024, 0.49058084772370486, 0.5295473732060523, 0.5139942734430923, 0.4961338115751338]",DecisionTreeClassifier
14,intention,VisitorType,0.6509723556158514,"[0.644232982833749, 0.657080814232871, 0.6665017598359146, 0.6394752736057748, 0.6475709475709476]",0.6620740519037976,"[0.6428643055933316, 0.6705687926996493, 0.6855329470533904, 0.6676323453529356, 0.6437718688196814]",0.6556495592949372,"[0.6435418288421086, 0.6633002140107237, 0.6749714320919442, 0.6508145568683815, 0.6456197646615276]",0.6196860100755752,"[0.5899537246477261, 0.6293535498920357, 0.6543938092695104, 0.6341030992979486, 0.5906258672706555]",0.6620740519037976,"[0.6428643055933316, 0.6705687926996493, 0.6855329470533904, 0.6676323453529356, 0.6437718688196814]",DecisionTreeClassifier
17,anuran,Genus,0.8673458874534736,"[0.9157894264119317, 0.8475040997215608, 0.8897195735213013, 0.8540378937295832, 0.8296784438829915]",0.8672449186078028,"[0.8795892277408808, 0.8539201462152695, 0.8690128414253289, 0.8840456526037431, 0.8496567250537918]",0.8652686295426808,"[0.8946658182860059, 0.8495899593842293, 0.8777126047111478, 0.8652958707027937, 0.8390788946292269]",0.8630498966097795,"[0.8746690457656594, 0.8496314759561762, 0.8629121165919006, 0.8815239340346737, 0.8465129107004878]",0.9905595691502926,"[0.99198077322571, 0.9899619647222921, 0.9905631127107897, 0.9915050691404106, 0.9887869259522606]",DecisionTreeClassifier
20,telco,Contract,0.6051394815128158,"[0.6099260868253538, 0.5991862467328164, 0.6000387456830943, 0.6157527089429163, 0.600793619379898]",0.6065998669383702,"[0.6093473299235549, 0.6031929274638544, 0.6008137632643562, 0.6124778983308934, 0.6071674157091921]",0.6055361594676867,"[0.6096344078747752, 0.6010920249258964, 0.6002079859941633, 0.6140386593462634, 0.602707719197335]",0.5721742778377936,"[0.5719343797844556, 0.5686998694820358, 0.5761711436848961, 0.5785592256026928, 0.5655067706348879]",0.8288386475310299,"[0.8313854710624025, 0.8226651399214345, 0.8276299733197131, 0.8335775808968253, 0.8289350724547738]",DecisionTreeClassifier
23,paris,isNewBuilt,0.4961255287126055,"[0.5146192775591989, 0.5028389070408098, 0.4843509581934727, 0.48284651688161095, 0.49597198388793556]",0.4961304680526329,"[0.5146161047190796, 0.5028372512277914, 0.48436699948796724, 0.48286314525810325, 0.4959688395702231]",0.4959222910337605,"[0.5144940525521438, 0.5024849501697427, 0.48428327004423605, 0.4824626079234225, 0.4958865744792579]",0.4959353407758887,"[0.5145251422443496, 0.5025807308676372, 0.48408160204642786, 0.48252163770378315, 0.4959675910172459]",0.4961304680526329,"[0.5146161047190796, 0.5028372512277914, 0.48436699948796724, 0.48286314525810325, 0.4959688395702231]",DecisionTreeClassifier
26,smoking,tartar,0.5036457773862641,"[0.503432657555399, 0.5040620634354317, 0.5099717030621193, 0.49920816029036974, 0.5015543025880008]",0.5036434215173795,"[0.5034465307831915, 0.5040593537311563, 0.5099456792728612, 0.49920619616506934, 0.5015593476346193]",0.5036224493560821,"[0.5033921826611988, 0.5040596214870586, 0.5099404151613761, 0.4991918923979548, 0.5015281350728222]",0.5009022276855845,"[0.5012979398845586, 0.5008574655924632, 0.506837291992686, 0.49638960081423694, 0.49912884014397785]",0.5036434215173795,"[0.5034465307831915, 0.5040593537311563, 0.5099456792728612, 0.49920619616506934, 0.5015593476346193]",DecisionTreeClassifier
29,flight,Customer Type,0.9487432959561376,"[0.9535819983959901, 0.9469355042613128, 0.9518779122480915, 0.9441585402752064, 0.9471625246000865]",0.9510441936297664,"[0.9523096670409021, 0.9483970512395586, 0.9548044118832839, 0.9462876822191819, 0.953422155765905]",0.9498825955368216,"[0.9529442490204963, 0.9476641414392801, 0.9533325313151346, 0.9452185757415235, 0.9502534801676739]",0.9505725167707804,"[0.9518056858377819, 0.9478590172796209, 0.9544321546347443, 0.9457087392734044, 0.95305698682835]",0.9510441936297664,"[0.9523096670409021, 0.9483970512395586, 0.9548044118832839, 0.9462876822191819, 0.953422155765905]",DecisionTreeClassifier
