,dataset,target,avg_fit_time,fit_time_folds,avg_score_time,score_time_folds,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_accuracy,accuracy_folds
18,telco,Churn,0.5990522384643555,[0.59464502 0.60971999 0.60489106 0.59527206 0.59073305],0.22306222915649415,[0.22104192 0.22447419 0.22125697 0.2225461  0.22599196],0.36754636233951504,[0.36768902 0.36768902 0.36768902 0.36733238 0.36733238],0.5,[0.5 0.5 0.5 0.5 0.5],0.42366190213511584,[0.42375668 0.42375668 0.42375668 0.42351974 0.42351974],0.7350927246790301,[0.73537803 0.73537803 0.73537803 0.73466476 0.73466476]
19,telco,Contract,0.8722373008728027,[0.8726759  0.86835909 0.88682318 0.86570501 0.86762333],0.2666325569152832,[0.26319885 0.27526402 0.26817107 0.26686001 0.25966883],0.44343764503468047,[0.39189699 0.49116059 0.44735953 0.38703323 0.49973789],0.4448604578726923,[0.44975439 0.44830222 0.44197395 0.44868267 0.43558906],0.40622755571577385,[0.40658592 0.41020691 0.40674905 0.40495292 0.40264298],0.6104136947218259,[0.61982882 0.60912981 0.60627675 0.61554922 0.60128388]
20,telco,PaymentMethod,1.3174709796905517,[1.32943702 1.32455182 1.32257891 1.30521202 1.30557513],0.41896882057189944,[0.42588806 0.41637111 0.42032123 0.41631389 0.41594982],0.3440189488695726,[0.3421483  0.35357199 0.42532777 0.33468167 0.26436501],0.330364628641835,[0.32238415 0.34442118 0.32509009 0.32968954 0.33023818],0.30217231167543435,[0.29228924 0.32169264 0.30567388 0.30185382 0.28935198],0.3619115549215407,[0.34878745 0.36661912 0.38017118 0.35663338 0.35734665]
21,paris,category,0.37231173515319826,[0.36992002 0.38448215 0.37527418 0.36375117 0.36813116],0.17245035171508788,[0.17119622 0.17557883 0.17054367 0.17180705 0.17312598],0.4367500000000001,[0.43675 0.43675 0.43675 0.43675 0.43675],0.5,[0.5 0.5 0.5 0.5 0.5],0.46623965839338144,[0.46623966 0.46623966 0.46623966 0.46623966 0.46623966],0.8735000000000002,[0.8735 0.8735 0.8735 0.8735 0.8735]
22,paris,isNewBuilt,1.642959213256836,[1.52897525 1.58309197 1.56295586 1.59316802 1.94660497],0.7004895210266113,[0.8645277  0.66014791 0.6604352  0.65714097 0.66019583],0.4918518590257134,[0.48101311 0.49773644 0.495436   0.49524049 0.48983324],0.4924244756514085,[0.48102792 0.498811   0.49651399 0.49569198 0.49007749],0.4696556247844185,[0.48091227 0.43165672 0.46515762 0.48359333 0.48695818],0.49269999999999997,[0.481  0.4995 0.497  0.496  0.49  ]
23,paris,hasStorageRoom,1.627863883972168,[1.56845427 1.71518707 1.60026908 1.66168118 1.59372783],0.6610791683197021,[0.66980362 0.67128801 0.65123391 0.66047215 0.65259814],0.4557546237292739,[0.51232762 0.2515     0.5002944  0.51395557 0.50069552],0.5054309955158385,[0.51222144 0.5        0.50029301 0.5139525  0.50068802],0.47183805905261555,[0.51130257 0.33466401 0.49979659 0.51394119 0.49948594],0.5062,[0.5125 0.503  0.5005 0.514  0.501 ]
24,smoking,smoking,27.111696577072145,[28.17745876 26.03574514 28.50137806 25.8693068  26.97459412],9.617249155044556,[9.68142724 9.56203222 9.5789063  9.6324451  9.63143492],0.7100501167001904,[0.71153608 0.71252229 0.70672847 0.7107267  0.70873704],0.6882085204628525,[0.68677319 0.69150589 0.68554314 0.68983343 0.68738695],0.694481393571236,[0.69345199 0.69774185 0.69164163 0.696005   0.6935665 ],0.7292825712202513,[0.72988441 0.73156773 0.72659933 0.73007856 0.72828283]
25,smoking,tartar,43.35242371559143,[42.98870993 42.50840187 44.1738677  44.00636697 43.08477211],14.148105669021607,[13.81753421 13.89777899 14.96641827 14.05575299 14.00304389],0.311203396424656,[0.27791494 0.44450681 0.27789001 0.27784014 0.27786508],0.4999242895984324,[0.5        0.49992436 0.5        0.49979806 0.49989903],0.3572438318607623,[0.3572562  0.35739525 0.35723561 0.35714286 0.35718924],0.5556877343365954,[0.55582987 0.55560543 0.55578002 0.55555556 0.55566779]
26,smoking,dental caries,34.90410990715027,[34.59389114 33.19986105 35.36972809 33.56468201 37.79238725],7.453661584854126,[7.43186903 7.4013412  7.50017476 7.44069195 7.49423099],0.3932347195099558,[0.39322186 0.39322186 0.39326599 0.39326599 0.39319789],0.4999857285571571,[0.5        0.5        0.5        0.5        0.49992864],0.440231183749687,[0.44022866 0.44022866 0.44025631 0.44025631 0.44018598],0.786451787038328,[0.78644372 0.78644372 0.78653199 0.78653199 0.78630752]
27,flight,satisfaction,364.0272109031677,[379.76767683 372.23840499 350.98428798 352.11096883 365.03471589],85.72709445953369,[86.14862323 85.61878681 85.30110002 85.67160225 85.89535999],0.6732734273690337,[0.67289206 0.67196928 0.67076545 0.67560668 0.67513366],0.6449727998409885,[0.64451966 0.6420945  0.64446813 0.64761618 0.64616552],0.6428295145487561,[0.64231895 0.6393155  0.64268445 0.64580908 0.64401959],0.6700904525768341,[0.66970422 0.66804386 0.66888057 0.67239449 0.67142912]
28,flight,Customer Type,156.97822437286376,[137.7515471  170.11124706 174.14742494 130.87869787 172.0022049 ],45.7427011013031,[45.81909299 45.13588524 46.22538495 45.84486914 45.68827319],0.40843096220840513,[0.40842922 0.40842922 0.40844499 0.40842569 0.40842569],0.5,[0.5 0.5 0.5 0.5 0.5],0.44960044204588645,[0.44959939 0.44959939 0.44960894 0.44959725 0.44959725],0.8168619244168103,[0.81685844 0.81685844 0.81688999 0.81685137 0.81685137]
29,flight,Class,344.13555512428286,[358.18932199 304.38407397 301.99348593 370.83817887 385.27271485],83.9158748626709,[83.45437908 84.02529407 83.53295779 84.47770023 84.08904314],0.46861735910035157,[0.46918981 0.46939092 0.46805602 0.46962722 0.46682283],0.4813878537940752,[0.48222586 0.48103558 0.48178696 0.48273157 0.4791593 ],0.4575147728831304,[0.45847335 0.45681842 0.45816283 0.45891863 0.45520063],0.6649316102233632,[0.66615183 0.6642984  0.66559833 0.666834   0.6617755 ]
