,dataset,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds,learner
1,imdb,gross,0.7468863622657681,"[0.7594609506677651, 0.7533115671641791, 0.7340297002768399, 0.7405352112676056, 0.7470943819524507]",0.7505046297572153,"[0.7664201286757573, 0.755913674488738, 0.7340297002768399, 0.74782331088925, 0.7483363344554921]",0.748506397740986,"[0.7624215521200062, 0.7545529122231337, 0.7340297002768399, 0.7438271604938271, 0.7477006635911233]",0.7473366176870799,"[0.765295027446228, 0.7531074693746291, 0.728996931996197, 0.7441436083006997, 0.7451400513176458]",0.7505046297572153,"[0.7664201286757573, 0.755913674488738, 0.7340297002768399, 0.74782331088925, 0.7483363344554921]",DecisionTreeClassifier
4,mushroom,habitat,0.4580537604969293,"[0.4620537743179252, 0.4397162525897671, 0.45302641977782226, 0.48106400448201053, 0.45440835131712176]",0.4547748245183062,"[0.46094915444123363, 0.4452578488308301, 0.453389326792436, 0.47196234278960714, 0.4423154497374245]",0.4529231762478602,"[0.4586012301063442, 0.44010037553156334, 0.4513375351727366, 0.4708946555650122, 0.44368208486364485]",0.1924314998089493,"[0.0, 0.20303999980291917, 0.2624412557510514, 0.2520725219333982, 0.2446037215573777]",0.8974258897940024,"[0.8964480953718583, 0.8972213766864111, 0.897836023630577, 0.8985474110357293, 0.8970765422454363]",DecisionTreeClassifier
7,census,workclass,0.2196441294720713,"[0.2212838684976369, 0.22268033840018125, 0.22219602554315906, 0.20928339933514964, 0.2227770155842299]",0.2245153682900629,"[0.22707270157790704, 0.2268992286631271, 0.22852897650403695, 0.21265446264001855, 0.22742147206522523]",0.2217525984419461,"[0.22382814320238395, 0.2245682743025044, 0.22506094358250653, 0.21085419634289115, 0.22445143477944485]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8815704076561728,"[0.8819976861418298, 0.8813307858175957, 0.8819951464081385, 0.8807065281577083, 0.8818218917555919]",DecisionTreeClassifier
10,bank,housing,0.504998450904216,"[0.49729559748427676, 0.5013197586726998, 0.5033775034530387, 0.4948349710254472, 0.5281644238856181]",0.5049848099752978,"[0.49728283764428344, 0.5013246425567703, 0.5033072696534235, 0.49473549049820237, 0.5282738095238095]",0.5044654064286236,"[0.49703334208453664, 0.5009857382550336, 0.5025692963752665, 0.4936086529006882, 0.5281300025275929]",0.5031968241306466,"[0.497063582354944, 0.501301921484888, 0.4960004874155705, 0.4941014855620079, 0.5275166438358221]",0.5049848099752978,"[0.49728283764428344, 0.5013246425567703, 0.5033072696534235, 0.49473549049820237, 0.5282738095238095]",DecisionTreeClassifier
13,intention,SpecialDay,0.2873184589093306,"[0.26769440436107106, 0.33512093185863207, 0.26181852550575163, 0.2751058262012203, 0.2968526066199784]",0.2940763901703862,"[0.26189958645432715, 0.3246076900274335, 0.2674373330691307, 0.2935209535310381, 0.32291638777000164]",0.2893441062656713,"[0.26428190940063073, 0.32827555383356977, 0.26380466485435744, 0.2828146715813644, 0.30754373165843424]",0.1187669752130415,"[0.0, 0.22302174487893017, 0.1794544060086067, 0.1913587251776706, 0.0]",0.8943284172614755,"[0.8876738994605603, 0.8970439400050085, 0.8929641614329582, 0.8913444171100529, 0.9026156682987972]",DecisionTreeClassifier
16,anuran,Species,0.8544150099648767,"[0.8505841635198317, 0.8413090949072716, 0.8826692073334558, 0.8258644095706534, 0.8716481744931718]",0.8558897029786413,"[0.8522955821165468, 0.8584005451982089, 0.8388409460245934, 0.8588183435325754, 0.8710930980212824]",0.8522330438710363,"[0.8509432279589421, 0.849183956626945, 0.8528959204063087, 0.8389424855581096, 0.8691996288048754]",0.8439413775144665,"[0.8454520566197818, 0.851022363723224, 0.8134665953841143, 0.8458482963083386, 0.8639175755368738]",0.9930521828838688,"[0.9935045168246015, 0.9932687926222797, 0.9926991499674646, 0.9923116870403309, 0.9934767679646669]",DecisionTreeClassifier
19,telco,PaymentMethod,0.3464503041516142,"[0.33543515295062626, 0.34776024075699685, 0.3482096639802546, 0.3579591836734694, 0.34288727939672403]",0.3464363469718184,"[0.3356035246222609, 0.34759252833007637, 0.3501093581755308, 0.35915665621550386, 0.33971966751572014]",0.3459962216732094,"[0.3354994094619027, 0.3473162261298256, 0.34866246968519693, 0.357891128882048, 0.34061187420707373]",0.3369338199802623,"[0.32449946677739316, 0.33810238369240464, 0.340852732530426, 0.349985581517235, 0.331228935383853]",0.7850644403997772,"[0.7807019547100106, 0.7850306163473129, 0.7851836665625325, 0.7901932508725209, 0.784212713506509]",DecisionTreeClassifier
22,paris,hasStorageRoom,0.502866619779448,"[0.5013451345134514, 0.5110999899909918, 0.48406298003072196, 0.5218061671802812, 0.4960188271817937]",0.5028586689803657,"[0.5013462937883306, 0.5110903992543732, 0.4840599193393509, 0.5217772683445956, 0.4960194641751776]",0.5027248714800889,"[0.5012904172978694, 0.5109295738586357, 0.4839917438679019, 0.5214252226910454, 0.4959873996849921]",0.5027227566364862,"[0.5013217748158864, 0.5108682760851748, 0.48404543257331073, 0.521401270059583, 0.49597702964847623]",0.5028586689803657,"[0.5013462937883306, 0.5110903992543732, 0.4840599193393509, 0.5217772683445956, 0.4960194641751776]",DecisionTreeClassifier
25,smoking,dental caries,0.5089346947516791,"[0.5086701629903851, 0.5074989925328408, 0.5111405570215202, 0.5084918113306012, 0.5088719498830477]",0.5095561651266518,"[0.5095417799884837, 0.5079537324307579, 0.5117474351511138, 0.5088608339232424, 0.509677044139661]",0.5088735828918161,"[0.5083996399242199, 0.5074692586553423, 0.5112283019860735, 0.5085417442260664, 0.5087289696673787]",0.4383397305941025,"[0.4428699692655744, 0.43500961622197903, 0.44096856050972094, 0.4346072029845482, 0.43824330398869]",0.5095561651266518,"[0.5095417799884837, 0.5079537324307579, 0.5117474351511138, 0.5088608339232424, 0.509677044139661]",DecisionTreeClassifier
28,flight,Class,0.603719877441195,"[0.6094000613700834, 0.6029384596658607, 0.6004453104121977, 0.6000299872607533, 0.6057855684970801]",0.6052549317153212,"[0.6123702168222992, 0.6042735326809235, 0.6010921954981415, 0.600991922022115, 0.6075467915531266]",0.6040380259191968,"[0.6102040798026527, 0.6032270308463484, 0.6004996905387561, 0.600134331802014, 0.6061249966062124]",0.4899872902820069,"[0.5105260793761338, 0.4873242404958106, 0.4749687258531898, 0.48350361734180164, 0.4936137883430984]",0.8795817040539641,"[0.8804684346021164, 0.8785737854639827, 0.8800527860756886, 0.8772719314240597, 0.8815415827039731]",DecisionTreeClassifier
