,dataset,target,avg_fit_time,fit_time_folds,avg_score_time,score_time_folds,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_accuracy,accuracy_folds
0,imdb,imdb_score,0.23217358589172363,[0.18020701 0.17384195 0.17106509 0.48976588 0.14598799],0.0021039962768554686,[0.00244284 0.00198102 0.00200725 0.00199294 0.00209594],0.4704034670417995,[0.62281879 0.4721139  0.4715408  0.41033124 0.37521261],0.4816760815880353,[0.35714286 0.45361988 0.5421604  0.52078726 0.53467001],0.4348004172769002,[0.35431034 0.45779406 0.50339967 0.45013019 0.40836782],0.8418372241192935,[0.86898396 0.86898396 0.86880857 0.8313253  0.77108434]
1,imdb,content_rating,0.28817105293273926,[0.24291801 0.22567987 0.23520708 0.2194562  0.5175941 ],0.002373933792114258,[0.00203586 0.00217319 0.0020299  0.00224876 0.00338197],0.10937585601796158,[0.06474408 0.08252896 0.11964538 0.14817244 0.13178842],0.15385213640586587,[0.14285714 0.14172308 0.14607383 0.18217658 0.15643004],0.11358464043411891,[0.08910501 0.08977657 0.10365335 0.1587034  0.12668488],0.4674960089914023,[0.45320856 0.44919786 0.45783133 0.49933066 0.47791165]
2,imdb,gross,0.021640539169311523,[0.02034473 0.01882982 0.01974511 0.02182293 0.0274601 ],0.0022643566131591796,[0.00226617 0.00291896 0.00214601 0.00183582 0.00215483],0.6283343046599669,[0.32820856 0.82864793 0.32797858 0.82841823 0.82841823],0.5011673151750973,[0.5        0.50194553 0.5        0.50194553 0.50194553],0.3987045140017478,[0.39628733 0.4004834  0.39611964 0.4003161  0.4003161 ],0.6569439970219559,[0.65641711 0.65775401 0.65595716 0.65729585 0.65729585]
3,mushroom,Class,0.03467059135437012,[0.03526902 0.03211117 0.03462577 0.03428721 0.03705978],0.0017917156219482422,[0.00177097 0.0018599  0.00180006 0.00174165 0.00178599],0.9524724228543568,[0.8656873  1.         0.99928469 0.99644381 0.90094631],0.9237191666762217,[0.7037037  1.         0.99883991 0.99419954 0.92185269],0.9223409258626581,[0.71189793 1.         0.99906137 0.99529841 0.90544693],0.9351475290378104,[0.77325066 1.         0.99911426 0.9955713  0.90780142]
4,mushroom,population,0.18803853988647462,[0.2224021  0.19184899 0.18842077 0.16382384 0.17369699],0.0019609928131103516,[0.00204897 0.00198293 0.0019362  0.00195098 0.00188589],0.41838532946374024,[0.40431415 0.50899915 0.38408613 0.38727191 0.4072553 ],0.44474355618611555,[0.35846961 0.55111506 0.47609051 0.49681973 0.34122288],0.3658018499649177,[0.27485201 0.47121969 0.40425259 0.39453417 0.28415079],0.3825342831477049,[0.33392383 0.41009743 0.37643933 0.38618246 0.40602837]
5,mushroom,habitat,0.16265087127685546,[0.19101    0.16470933 0.15476394 0.156811   0.14596009],0.002012348175048828,[0.00201082 0.00200486 0.00185609 0.00196195 0.00222802],0.4831375788850356,[0.54903216 0.61635015 0.61311421 0.37542468 0.2617667 ],0.5487646821872326,[0.70557064 0.6617916  0.50523086 0.39356527 0.47766505],0.46071589754990533,[0.58013959 0.63394997 0.48309095 0.37067603 0.23572295],0.5927788666302319,[0.63064659 0.78210806 0.75730735 0.5571302  0.23670213]
6,census,income,0.3079037666320801,[0.26414895 0.23954511 0.38168883 0.39569211 0.25844383],0.008230209350585938,[0.0080719  0.00752997 0.00780511 0.00975895 0.00798512],0.7581060561694694,[0.75073312 0.76038478 0.7647655  0.76178778 0.7528591 ],0.6139206805809954,[0.61347302 0.61658185 0.60725751 0.61919824 0.61309278],0.6289995622589502,[0.62840837 0.63254529 0.62020338 0.63591008 0.62793069],0.7913660827178022,[0.78979976 0.79267618 0.79057418 0.79367187 0.79010843]
7,census,marital-status,1.5110241889953613,[1.90909696 1.3493371  1.26837802 1.52030182 1.50800705],0.00894150733947754,[0.0080452  0.00968814 0.00881219 0.00822616 0.00993586],0.06653221974736835,[0.06653707 0.06653707 0.06653707 0.06652126 0.06652863],0.14285714285714285,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],0.09078400816435456,[0.09078852 0.09078852 0.09078852 0.09077381 0.09078066],0.4657255382315785,[0.46575949 0.46575949 0.46575949 0.46564885 0.46570038]
8,census,workclass,1.5078812122344971,[1.28079605 1.41772413 1.42496276 1.83477998 1.58114314],0.008313417434692383,[0.00958705 0.00847101 0.00825119 0.00750208 0.00775576],0.1396029387348146,[0.14807367 0.11823102 0.1290269  0.17019489 0.13248822],0.14394417472467413,[0.14403101 0.1431626  0.14322697 0.14494237 0.14435792],0.12349011558803095,[0.12366329 0.12199339 0.12201147 0.12538068 0.12440175],0.7360490247064668,[0.73603275 0.73592212 0.73614338 0.73647527 0.73567161]
9,bank,y,0.06122312545776367,[0.04562998 0.0376358  0.04029202 0.05567384 0.12688398],0.002205228805541992,[0.00161695 0.00156212 0.00179911 0.0032289  0.00281906],0.8046947630847967,[0.78519737 0.8265493  0.82441736 0.8151619  0.77214789],0.6999105723370429,[0.69383446 0.7303756  0.67324126 0.71010533 0.69199622],0.7364410943911205,[0.72716838 0.76694129 0.71790991 0.7480636  0.7221223 ],0.9074433656957929,[0.90291262 0.91585761 0.90776699 0.91100324 0.89967638]
10,bank,loan,0.04651031494140625,[0.07087898 0.0382328  0.04226685 0.04244685 0.03872609],0.001726818084716797,[0.00182676 0.00179815 0.00158691 0.00178313 0.00163913],0.41796116504854364,[0.41828479 0.41828479 0.41828479 0.41747573 0.41747573],0.5,[0.5 0.5 0.5 0.5 0.5],0.45531454676829125,[0.45550661 0.45550661 0.45550661 0.45502646 0.45502646],0.8359223300970873,[0.83656958 0.83656958 0.83656958 0.83495146 0.83495146]
11,bank,housing,0.04293951988220215,[0.0391531  0.04788494 0.04864001 0.04040766 0.03861189],0.0017210960388183594,[0.00156784 0.00201607 0.00167227 0.0017302  0.0016191 ],0.5414660326407523,[0.58156262 0.52865797 0.55799756 0.52651884 0.51259318],0.5262664495490894,[0.55374049 0.52339391 0.52409129 0.52068703 0.50941952],0.4965997306195222,[0.52560588 0.50912041 0.45979021 0.50215059 0.48633157],0.551779935275081,[0.58090615 0.54368932 0.55987055 0.5420712  0.53236246]
12,intention,Revenue,0.070670747756958,[0.0676229  0.07035494 0.08073211 0.06940079 0.06524301],0.002872800827026367,[0.00238419 0.00230289 0.00231886 0.00498295 0.00237513],0.8094629122750303,[0.87848874 0.85750916 0.78426813 0.77537862 0.75166992],0.6664393337541917,[0.6986757  0.65767041 0.67418633 0.65298078 0.64868346],0.7049457892060131,[0.74826664 0.70245607 0.70839346 0.68684308 0.67876969],0.8780093906297847,[0.89731959 0.88453608 0.87463918 0.86969072 0.86386139]
13,intention,VisitorType,0.07495346069335937,[0.07284689 0.07026029 0.07814813 0.06939983 0.08411217],0.0026073455810546875,[0.00264096 0.00240588 0.00241876 0.00332427 0.00224686],0.6171101401887502,[0.57337823 0.68129929 0.68160083 0.53666261 0.61260973],0.5064653302896368,[0.50176069 0.50988186 0.51235233 0.50409246 0.50423931],0.47905958450962177,[0.46795026 0.48482665 0.490113   0.478844   0.47356401],0.8582976761593685,[0.85938144 0.86020619 0.86020619 0.85237113 0.85932343]
