,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.10955914775162319,"[0.09317454887075141, 0.1412675679503927, 0.0878037937166568, 0.1184728183118741, 0.10707700990844098]",0.14977869117851206,"[0.14116609606805686, 0.1745509983532318, 0.1433847732641444, 0.1468502383692257, 0.14294134983790155]",0.11019041229779045,"[0.09340404813900942, 0.15234837521378766, 0.09680205415499533, 0.10209877054269986, 0.10629881343846001]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8624213961462599,"[0.8564888219438719, 0.8785766420186467, 0.8588231407870686, 0.8599665455076598, 0.8582518304740528]"
1,imdb,target3,gross,0.4273285863154399,"[0.44233258396348524, 0.43148341250531025, 0.42746452068946766, 0.43653566229985447, 0.3988267521190821]",0.49187713172586767,"[0.5082948802460997, 0.4914540816326531, 0.48012815897472816, 0.5081062194269741, 0.4714023183488833]",0.4558900233782978,"[0.47176978746531645, 0.4586612758310871, 0.45180348258706465, 0.46843033509700177, 0.4287852359110193]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7256610153957028,"[0.729626572086671, 0.7323557463042442, 0.7241224122412241, 0.7286003952670619, 0.7135999510793126]"
2,imdb,target2,content_rating,0.5284179767095695,"[0.8214765100671141, 0.32486631016042783, 0.33065595716198126, 0.34203480589022756, 0.8230563002680965]",0.5014926001262537,"[0.5055762081784386, 0.5, 0.5, 0.5, 0.5018867924528302]",0.3993488767023298,"[0.40236928104575165, 0.3938411669367909, 0.3980660757453666, 0.4062003179650238, 0.3962675418187162]",0.033406902650941914,"[0.10560500157131444, 0.0, 0.0, 0.0, 0.061429511683395124]",0.5014926001262537,"[0.5055762081784386, 0.5, 0.5, 0.5, 0.5018867924528302]"
3,mushroom,target1,Class,0.5248076611722541,"[0.526310086362881, 0.518341394024658, 0.5459099171420161, 0.5150535857608255, 0.5184233225708895]",0.5150151999794466,"[0.508772902281609, 0.509873507676231, 0.51311952239881, 0.5428018286451579, 0.5005082388954241]",0.5129002357516812,"[0.5095769991582301, 0.5127522085503496, 0.5222879919735814, 0.5220789569559866, 0.4978050221202581]",0.4740894086771802,"[0.45760552600219123, 0.4877741008230103, 0.48118199909497505, 0.5049555255023559, 0.4389298919633685]",0.8714176148700746,"[0.8739419934614996, 0.8727452377799102, 0.8723632688189048, 0.8705727996062481, 0.8674647746838101]"
4,mushroom,target3,habitat,0.9995716108757614,"[1.0, 0.9992846924177397, 0.9992805755395684, 0.9992927864214993, 1.0]",0.9993016897616585,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 1.0]",0.999436090377374,"[1.0, 0.9990613701003561, 0.9990646548046006, 0.9990544269819135, 1.0]",0.9993012828682225,"[1.0, 0.9988392335031453, 0.9988499133630073, 0.9988172674749604, 1.0]",0.9993016897616585,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 1.0]"
5,mushroom,target2,population,0.6139606158510753,"[0.6312799712910092, 0.6026479887762136, 0.6182287210967459, 0.6196791177280107, 0.5979672803633973]",0.6140563584725017,"[0.6390315654364739, 0.6000596551197971, 0.6113804827057098, 0.6322261853951995, 0.5875839037053284]",0.6096786250139362,"[0.6316595448356709, 0.5879722304715119, 0.6144922538253244, 0.6234395535496222, 0.5908295423875517]",0.5521308257807481,"[0.596546047469457, 0.49791957363368844, 0.561344019221498, 0.5703712276549525, 0.5344732609241445]",0.9254014422104759,"[0.9282641164980604, 0.9199336806598751, 0.9253027211882521, 0.9298494922973739, 0.9236572004088179]"
6,census,target1,income,0.06653223478597804,"[0.06631580611003114, 0.06584167022268582, 0.06729568694387812, 0.06599971551846759, 0.06720829513482755]",0.14285714285714285,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.090782380902154,"[0.09058233040099305, 0.09013901660626386, 0.09149217331514091, 0.09028701151289119, 0.09141137267548102]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8571428571428571,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]"
7,census,target3,workclass,0.755906390161539,"[0.7547477227849284, 0.740293970081464, 0.7679045111673792, 0.7526460824443226, 0.7639396643296008]",0.614894392274544,"[0.6124005533943166, 0.6118731128038823, 0.6108802352323724, 0.6193163385846313, 0.6200017213575169]",0.6302183381328287,"[0.6266450808598407, 0.6272985312080389, 0.6247259864487844, 0.6364022906462685, 0.6360198015012108]",0.5056408335247407,"[0.5005797269741455, 0.5032628987770614, 0.49369829507719326, 0.5160293307445898, 0.5146339160507135]",0.614894392274544,"[0.6124005533943166, 0.6118731128038823, 0.6108802352323724, 0.6193163385846313, 0.6200017213575169]"
8,census,target2,marital-status,0.13952643695453532,"[0.1409691106853913, 0.1560459664517764, 0.13704582608237093, 0.13523831752329826, 0.1283329640298397]",0.14434395073920495,"[0.14442272952167592, 0.14559362025135766, 0.14368361566715462, 0.14446419131040897, 0.14355559694542747]",0.12428760397590546,"[0.12452056864230816, 0.12716205051785764, 0.12301183384151781, 0.12453446995596852, 0.12220909692187513]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8574124821151056,"[0.85730621244423, 0.857663124881137, 0.8572686469250039, 0.8573759534077219, 0.857448472917435]"
9,bank,target1,y,0.5402445158455134,"[0.5479192938209332, 0.5530441400304413, 0.525242718446602, 0.528066260406832, 0.5469501665227581]",0.5293518759514705,"[0.5320161765944899, 0.5439655172413793, 0.5141483516483516, 0.5244928094504365, 0.532136524822695]",0.5039900111484921,"[0.4999765478424014, 0.5296594633631465, 0.46844649050043, 0.5182676478451126, 0.5035999061913696]",0.457197508505952,"[0.44779724116732567, 0.5034364665596534, 0.39258232145739713, 0.48988222225296857, 0.4522892910924151]",0.5293518759514705,"[0.5320161765944899, 0.5439655172413793, 0.5141483516483516, 0.5244928094504365, 0.532136524822695]"
